city,state,population,land_area_sq_mi,city_state,lat,lon,metro_population,msa_name,median_household_income,median_home_price,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Spokane,WA,230609,68.8,"Spokane, WA",47.657193,-117.42351,604962.0,,63316.0,286900.0,49.7,9.8,59.3,40.1,82.9,23.9,11.19,53.6,5.8,Spokane,11.3,Cat Tales Zoological Park,6.7,Wonderland Family Fun Center,185.6,Glacier NP,67.4,Idaho Panhandle NF,none,227.7,1896.0,3.0,29.5,22.5,Mt Spokane SP WA,59.0,True,True,True,4,100.0,0,0,0,0,0,0,0.0,mountains
Huntsville,AL,230402,218.1,"Huntsville, AL",34.729847,-86.585901,542297.0,"Huntsville, AL MSA",67874.0,236300.0,62.2,16.8,71.4,53.0,87.8,36.6,7.51,34.3,81.0,Birmingham,38.7,Wild Bird Viewing,4.1,Rocket Garden,171.5,Mammoth Cave NP,104.1,Talladega NF AL,none,317.7,627.0,3.0,16.5,58.4,DeSoto SP AL,51.2,False,True,True,2,50.0,0,0,0,0,0,0,0.0,hills
Santa Clarita,CA,229159,70.8,"Santa Clarita, CA",34.412796,-118.553809,,,116186.0,669200.0,66.0,18.9,77.5,54.5,91.1,43.8,12.22,59.1,18.4,Burbank Hollywood,7.6,Wildlife Learning and Conservation Center,2.4,MB2 Entertainment,75.5,Channel Islands NP,32.6,Angeles NF CA,ocean,28.6,1168.0,2.0,42.0,114.4,Mount San Jacinto SP CA,47.3,False,True,True,2,50.0,2,2,2,1,2,9,90.0,coastal
Tacoma,WA,228202,49.7,"Tacoma, WA",47.245501,-122.438329,4145494.0,,79085.0,415300.0,52.6,11.4,60.2,45.0,76.1,35.4,11.85,57.1,15.4,Seattle-Tacoma,5.7,Point Defiance Zoo & Aquarium,6.4,Wild Waves Theme Park,42.0,Mount Rainier NP,52.8,Olympic NF WA,ocean,4.2,102.0,8.0,67.0,52.8,Olympic SP WA,40.7,False,False,True,1,25.0,1,1,0,1,1,4,40.0,coastal
Fremont,CA,228192,78.3,"Fremont, CA",37.54827,-121.988571,4648486.0,,169023.0,1231500.0,60.8,16.0,69.6,51.9,79.0,44.6,7.25,32.9,13.2,San Jose,12.7,Barron Park Donkeys,1.4,Sky Zone,59.8,Point Reyes NS,130.1,Eldorado NF CA,ocean,12.1,59.0,4.0,45.0,72.5,Point Lobos SP CA,34.4,False,True,False,1,25.0,1,1,1,1,1,5,50.0,coastal
McKinney,TX,227526,67.0,"McKinney, TX",33.19765,-96.615447,,,113286.0,400400.0,66.1,18.9,74.6,57.5,91.6,39.3,9.08,42.5,27.8,Dallas Love Field,30.3,Texas Discovery Gardens,12.6,Universal Kids Resort,224.8,Hot Springs NP,175.1,Ouachita NF AR,none,283.7,643.0,0.0,2.0,292.9,Lost Maples SP TX,52.3,False,True,True,2,50.0,1,1,1,1,1,5,50.0,plains
San Bernardino,CA,224775,62.1,"San Bernardino, CA",34.825302,-116.083314,4744214.0,,61323.0,347100.0,69.9,21.1,80.5,59.2,101.1,42.2,10.83,51.7,101.4,McCarran Las Vegas,60.3,Big Bear Alpine Zoo,59.4,Big Bear Snow Play,66.4,Joshua Tree NP,59.4,San Bernardino NF CA,none,135.1,1896.0,3.0,31.5,79.0,Mount San Jacinto SP CA,58.9,False,True,True,2,50.0,2,2,2,1,2,9,90.0,desert
Baton Rouge,LA,220907,86.3,"Baton Rouge, LA",30.449416,-91.186966,882652.0,"Baton Rouge, LA MSA",50155.0,217700.0,69.3,20.7,77.3,61.3,89.1,47.0,6.43,28.6,63.8,New Orleans,8.0,Baton Rouge Zoo,0.6,13th Gate Necropolis,300.8,Hot Springs NP,186.4,Angelina NF TX,none,75.3,59.0,0.0,6.0,215.0,Gulf State Park AL,42.1,False,True,True,2,50.0,1,0,1,0,0,2,20.0,lowlands
Modesto,CA,220592,43.0,"Modesto, CA",37.639342,-120.996889,556972.0,"Modesto, CA MSA",73375.0,381800.0,64.9,18.3,77.4,52.5,96.5,41.2,12.02,58.0,54.7,San Jose,33.9,Micke Grove Zoo,33.8,Fun Town at Micke Grove,79.9,Pinnacles NP,91.0,Eldorado NF CA,none,66.7,98.0,5.0,40.5,93.1,Point Lobos SP CA,55.3,False,True,True,2,50.0,1,1,1,1,1,5,50.0,valley
Fontana,CA,218455,43.1,"Fontana, CA",34.092295,-117.43433,,,93230.0,506600.0,66.6,19.2,78.3,54.9,92.8,44.4,12.22,59.1,9.9,Ontario California,27.3,Orange County Zoo,8.1,Fiesta Village Family Fun Park,89.3,Joshua Tree NP,35.4,Angeles NF CA,none,56.6,1237.0,7.0,47.0,46.7,Mount San Jacinto SP CA,48.4,False,True,True,2,50.0,2,2,2,1,2,9,90.0,desert
