city,state,population,metro_population,median_household_income,median_home_price,lat,lon,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Boston,MA,675647,5025517.0,89212.0,684900.0,42.3588336,-71.0578303,51.9,11.1,60.0,43.8,80.9,24.8,12.01,57.9,2.5,Logan Boston,4.2,Franklin Park Zoo MA,82.7,Six Flags New England MA,63.6,Cape Cod NS,412.2,Allegheny NF PA,ocean,5.0,46.0,2.0,30.0,95.6,Mohawk Trail SP MA,56.1,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,coastal
Portland,OR,652503,2537904.0,85876.0,523100.0,45.5202471,-122.674194,53.9,12.2,62.4,45.4,80.2,35.9,11.86,57.2,6.1,Portland,2.2,Oregon Zoo OR,2.6,Oaks Park OR,104.3,Mount Rainier NP,45.2,Mt Hood NF OR,none,64.4,62.0,3.0,30.5,35.0,Columbia River Gorge OR,44.3,False,True,True,2.0,50.0,0,0,1,0,1,2,20.0,valley
Las Vegas,NV,641903,2398871.0,66356.0,365300.0,36.1674263,-115.1484131,69.9,21.1,81.1,58.8,104.0,39.2,11.83,57.0,5.8,McCarran Las Vegas,2.3,Las Vegas Springs Preserve NV,226.0,Disneyland CA,110.2,Death Valley NP,160.5,Kaibab NF AZ,none,241.4,2034.0,1.0,20.5,42.8,Valley of Fire SP NV,64.8,False,True,True,2.0,50.0,1,0,0,1,0,2,20.0,desert
Detroit,MI,639111,4400578.0,37761.0,66700.0,42.3315509,-83.0466403,51.0,10.6,58.7,43.3,81.1,23.6,8.97,41.9,17.7,Detroit Metro,11.6,Detroit Zoo MI,61.6,Cedar Point OH,105.3,Cuyahoga Valley NP,169.2,Huron Manistee NF MI,none,56.7,600.0,0.0,11.0,151.3,Presque Isle SP PA,57.5,True,True,True,4.0,100.0,1,1,1,1,0,4,40.0,plains
Memphis,TN,633104,1339345.0,48090.0,139600.0,35.1460249,-90.0517638,62.8,17.1,71.3,54.4,87.7,37.3,9.64,45.5,8.3,Memphis,0.9,Memphis Zoo TN,212.1,Silver Dollar City MO,175.3,Hot Springs NP,163.1,Mark Twain NF MO,none,333.8,282.0,0.0,6.0,256.9,DeSoto SP AL,50.4,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,plains
Louisville,KY,633045,1394234.0,,,38.2542376,-85.759407,57.9,14.4,66.9,49.0,85.5,30.7,9.99,47.3,5.7,Louisville,91.3,Cincinnati Zoo OH,65.1,Holiday World IN,76.0,Mammoth Cave NP,35.0,Hoosier NF IN,none,255.0,472.0,3.0,29.5,75.1,Mammoth Cave Area KY,54.8,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Baltimore,MD,585708,2859024.0,58349.0,202900.0,39.2908816,-76.610759,57.3,14.1,65.4,49.2,84.7,30.8,11.06,52.9,8.5,Baltimore/Washington,3.1,Maryland Zoo MD,68.8,Hersheypark PA,113.4,Assateague Island NS,154.9,George Washington NF VA,ocean,6.0,43.0,3.0,39.5,16.6,Patuxent River SP MD,53.9,True,True,True,4.0,100.0,1,1,0,0,0,2,20.0,coastal
Milwaukee,WI,577222,1574452.0,49733.0,157800.0,43.0386475,-87.9090751,48.9,9.4,56.7,41.1,79.7,19.2,11.75,56.6,6.3,Milwaukee Mitchell,6.5,Milwaukee County Zoo WI,46.2,Six Flags Great America IL,105.2,Indiana Dunes NP,138.0,Huron Manistee NF MI,great_lakes,2.7,584.0,1.0,30.5,93.8,Devil's Lake SP WI,60.5,True,True,True,4.0,100.0,0,1,1,0,0,2,20.0,great_lakes
Albuquerque,NM,564559,926303.0,61503.0,246000.0,35.0841034,-106.650985,58.7,14.8,70.6,46.8,91.6,27.6,11.23,53.8,3.9,Albuquerque,2.7,Albuquerque BioPark Zoo NM,334.2,Elitch Gardens CO,159.4,White Sands NP,20.6,Cibola NF NM,none,627.8,4967.0,2.0,27.0,189.0,Ute Mountain SP CO,64.0,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,desert
Tucson,AZ,542629,1080149.0,52049.0,218200.0,32.2228765,-110.974847,70.6,21.4,82.9,58.4,99.2,41.0,10.71,51.1,7.6,Tucson,3.1,Tucson Reid Park Zoo AZ,366.9,SeaWorld San Diego CA,5.2,Saguaro NP,40.3,Coronado NF AZ,none,365.1,2369.0,2.0,45.0,321.9,Anza Borrego SP CA,58.2,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,desert
Fresno,CA,542107,1189557.0,63001.0,321800.0,36.7394421,-119.78483,66.9,19.4,79.6,54.2,101.2,39.8,11.12,53.3,4.5,Fresno Yosemite,0.8,Fresno Chaffee Zoo CA,129.3,California's Great America CA,68.9,Kings Canyon NP,41.6,Sierra NF CA,none,111.5,308.0,7.0,45.0,116.2,Big Sur CA,61.4,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,valley
Sacramento,CA,524943,2463127.0,78954.0,450500.0,38.5810606,-121.493895,63.8,17.7,76.9,50.8,96.1,40.4,11.83,57.0,9.5,Sacramento,2.2,Sacramento Zoo CA,50.5,Six Flags Discovery Kingdom CA,83.8,Point Reyes NS,71.6,Eldorado NF CA,none,72.1,52.0,6.0,42.0,93.1,Lake Tahoe NV SP,55.7,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,valley
Kansas City,MO,508090,2253579.0,65256.0,208900.0,39.100105,-94.5781416,56.3,13.5,65.0,47.5,86.5,25.4,10.03,47.5,15.5,Kansas City,9.8,Kansas City Zoo MO,6.9,Worlds of Fun MO,239.2,Gateway Arch NP,212.8,Mark Twain NF MO,none,414.1,922.0,0.0,0.0,327.5,Effigy Mounds IA,61.1,True,True,True,4.0,100.0,1,1,0,0,1,3,30.0,hills
Mesa,AZ,504258,5186958.0,73766.0,327700.0,33.4151005,-111.831455,74.6,23.7,86.4,62.9,104.8,44.6,10.93,52.3,10.3,Phoenix Sky Harbor,7.0,Phoenix Zoo AZ,316.1,SeaWorld San Diego CA,91.3,Saguaro NP,54.8,Tonto NF AZ,none,315.4,1243.0,3.0,22.5,261.0,Valley of Fire SP NV,60.2,False,True,True,2.0,50.0,0,1,1,0,0,2,20.0,desert
Atlanta,GA,498715,6411149.0,77655.0,395600.0,33.7544657,-84.3898151,62.9,17.2,71.6,54.1,85.8,39.3,8.9,41.6,8.1,Hartsfield-Jackson Atlanta,103.8,Chattanooga Zoo TN,9.4,Six Flags Over Georgia GA,137.9,Great Smoky Mountains NP,79.6,Chattahoochee NF GA,none,252.9,1066.0,5.0,29.5,11.4,Stone Mountain SP GA,46.5,False,True,True,2.0,50.0,1,1,1,0,1,4,40.0,hills
Omaha,NE,486051,1001010.0,70202.0,210300.0,41.2587459,-95.9383758,52.5,11.4,61.4,43.5,85.5,18.1,10.07,47.7,3.8,Omaha Eppley,3.2,Omaha Henry Doorly Zoo NE,127.5,Adventureland IA,355.4,Gateway Arch NP,267.0,Nebraska NF,none,427.6,1083.0,0.0,0.0,274.4,Effigy Mounds IA,67.4,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Colorado Springs,CO,478961,777634.0,79026.0,383000.0,38.8339578,-104.825348,49.6,9.8,62.4,36.7,84.5,18.6,10.92,52.2,7.0,Colorado Springs,3.6,Cheyenne Mountain Zoo CO,64.0,Elitch Gardens CO,84.9,Great Sand Dunes NP,43.1,Pike San Isabel NF CO,none,803.3,6017.0,5.0,59.5,6.1,Garden of the Gods CO,65.9,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,mountains
Raleigh,NC,467665,1562009.0,78631.0,347000.0,35.7803977,-78.6390989,62.6,17.0,71.6,53.6,87.3,37.6,9.37,44.1,10.7,Raleigh-Durham,66.0,North Carolina Zoo NC,137.9,Carowinds NC,77.8,Blue Ridge Parkway,142.5,Jefferson NF VA,none,118.9,371.0,1.0,15.5,103.1,Cheraw SP SC,49.7,False,True,True,2.0,50.0,0,0,0,1,0,1,10.0,plains
Long Beach,CA,466742,12927614.0,78995.0,709700.0,33.7690164,-118.191604,62.9,17.2,70.9,55.0,77.0,46.3,13.48,65.7,4.1,Long Beach,27.0,LA Zoo CA,12.2,Knott's Berry Farm CA,92.7,Channel Islands NP,38.2,Angeles NF CA,ocean,7.8,56.0,6.0,53.0,79.0,Torrey Pines SP CA,30.7,False,False,False,1.0,25.0,2,2,2,1,2,9,90.0,coastal
Virginia Beach,VA,459470,1794278.0,87544.0,343700.0,36.8496579,-75.9760751,61.9,16.6,67.8,56.0,83.3,39.8,10.13,48.1,3.7,Norfolk,18.0,Virginia Zoo VA,46.1,Busch Gardens Williamsburg VA,94.3,Assateague Island NS,214.8,George Washington NF VA,ocean,10.5,16.0,2.0,30.0,96.2,Assateague SP MD,43.5,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,coastal
Miami,FL,442241,6457988.0,54858.0,433900.0,25.7741566,-80.1935973,77.1,25.1,82.1,72.2,86.6,65.2,12.66,61.4,6.0,Miami,17.5,Zoo Miami FL,178.9,LEGOLAND Florida FL,24.9,Biscayne NP,262.0,Ocala NF FL,ocean,6.1,20.0,4.0,45.0,75.7,Fakahatchee Strand SP FL,21.4,False,True,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Oakland,CA,440646,4648486.0,94389.0,883800.0,37.8044557,-122.271356,58.8,14.9,67.0,50.7,72.4,44.6,13.14,63.9,13.9,San Francisco,6.0,Oakland Zoo CA,23.2,Six Flags Discovery Kingdom CA,37.3,Point Reyes NS,131.9,Eldorado NF CA,ocean,7.0,30.0,3.0,48.5,78.4,Salt Point SP CA,27.8,False,False,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Minneapolis,MN,429954,3757952.0,76332.0,328700.0,44.9772995,-93.2654692,45.8,7.7,55.1,36.6,82.5,8.2,10.91,52.2,6.7,Minneapolis-Saint Paul,5.5,Como Zoo MN,20.2,Valleyfair MN,243.1,Voyageurs NP,157.5,Chippewa NF MN,none,137.9,876.0,0.0,2.0,165.5,Effigy Mounds IA,74.3,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,plains
Tulsa,OK,413066,1059803.0,56648.0,174200.0,36.1563122,-95.9927516,61.3,16.3,70.3,52.3,89.0,32.4,9.48,44.6,6.5,Tulsa,5.5,Tulsa Zoo OK,152.1,Silver Dollar City MO,201.2,Hot Springs NP,160.3,Ouachita NF AR,none,454.5,712.0,0.0,2.0,333.0,Palo Duro Canyon SP TX,56.6,True,True,True,4.0,100.0,0,0,1,0,0,1,10.0,plains
Bakersfield,CA,403455,922529.0,73827.0,320600.0,35.3738712,-119.019463,69.6,20.9,81.9,57.3,102.5,42.2,10.32,49.1,89.2,Burbank Hollywood,76.0,Santa Barbara Zoo CA,69.6,Six Flags Magic Mountain CA,80.8,Sequoia NP,84.0,Los Padres NF CA,none,99.2,407.0,3.0,35.5,168.6,Big Sur CA,60.3,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,plains
Wichita,KS,397532,661217.0,60712.0,166400.0,37.6922361,-97.3375448,58.2,14.6,67.5,48.9,88.0,27.5,10.05,47.6,6.0,Wichita,4.0,Sedgwick County Zoo KS,185.2,Worlds of Fun MO,324.8,Hot Springs NP,273.7,Ozark NF AR,none,578.7,1309.0,0.0,0.0,310.3,Palo Duro Canyon SP TX,60.5,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Arlington,TX,394266,8344032.0,71736.0,251300.0,32.7355816,-97.1071186,67.0,19.4,75.9,58.1,91.9,41.0,10.69,51.0,12.0,Dallas/Fort Worth,14.7,Fort Worth Zoo TX,2.6,Six Flags Over Texas TX,264.7,Hot Springs NP,169.2,Sam Houston NF TX,none,277.3,627.0,0.0,2.0,250.3,Lost Maples SP TX,50.9,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
Aurora,CO,386261,3052498.0,78685.0,409700.0,39.7405111,-104.830994,51.4,10.8,63.3,39.6,85.8,21.8,12.03,58.1,11.6,Denver,6.3,Denver Zoo CO,9.6,Elitch Gardens CO,61.4,Rocky Mountain NP,73.3,Arapaho Roosevelt NF CO,none,804.5,5390.0,7.0,51.0,19.9,Red Rocks Park CO,64.0,True,True,True,4.0,100.0,1,2,1,1,1,6,60.0,mountains
Tampa,FL,384959,3424560.0,66802.0,333200.0,27.9449854,-82.4583107,73.9,23.3,80.9,66.9,87.1,56.4,11.02,52.7,5.0,Tampa,4.8,Tampa Lowry Park Zoo FL,6.8,Busch Gardens Tampa FL,206.9,Everglades NP,101.5,Ocala NF FL,ocean,4.0,23.0,1.0,28.5,52.2,Myakka River SP FL,30.7,False,True,False,1.0,25.0,1,1,0,1,0,3,30.0,coastal
New Orleans,LA,383997,966230.0,51116.0,281500.0,29.9561422,-90.0733934,70.2,21.2,76.2,64.3,86.2,51.1,10.65,50.8,11.4,New Orleans,4.3,New Orleans Audubon Zoo LA,5.6,Six Flags New Orleans LA,359.4,Hot Springs NP,260.4,Angelina NF TX,ocean,4.2,10.0,0.0,22.0,149.1,Gulf State Park AL,35.1,False,True,False,1.0,25.0,1,0,1,0,0,2,20.0,coastal
Cleveland,OH,372624,2171877.0,37271.0,87400.0,41.4996574,-81.6936772,52.5,11.4,58.6,46.3,77.6,27.7,10.43,49.6,10.1,Cleveland Hopkins,3.9,Cleveland Metroparks Zoo OH,51.6,Cedar Point OH,16.5,Cuyahoga Valley NP,139.8,Allegheny NF PA,great_lakes,29.1,646.0,3.0,36.5,88.2,McConnells Mill SP PA,49.9,True,False,True,2.0,50.0,1,1,1,0,0,3,30.0,great_lakes
Honolulu,HI,350964,998747.0,,,21.304547,-157.855676,76.2,24.6,80.7,71.6,83.9,68.8,12.0,57.9,4.7,Honolulu,3.3,Honolulu Zoo HI,10.5,Wet n Wild Hawaii HI,117.1,Haleakala NP,2457.0,Los Padres NF CA,ocean,3.6,13.0,0.0,26.0,127.9,Na Pali Coast SP HI,15.1,False,True,False,1.0,25.0,0,0,0,0,0,0,0.0,coastal
Anaheim,CA,346824,12927614.0,88538.0,713600.0,33.8347516,-117.911732,65.5,18.6,75.6,55.4,84.0,47.5,13.48,65.7,11.2,John Wayne Orange County,31.1,LA Zoo CA,1.6,Disneyland CA,107.9,Channel Islands NP,32.5,Angeles NF CA,ocean,24.2,177.0,5.0,42.5,69.7,Mount San Jacinto SP CA,36.5,False,True,False,1.0,25.0,0,0,0,1,0,1,10.0,coastal
Lexington,KY,322570,533366.0,,,38.0464066,-84.4970393,56.8,13.8,65.6,48.0,84.1,30.7,9.25,43.4,6.0,Lexington,75.6,Cincinnati Zoo OH,90.3,Kings Island OH,106.1,Mammoth Cave NP,53.6,Daniel Boone NF KY,none,256.7,951.0,2.0,17.0,86.6,Cumberland Falls SP KY,53.4,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,hills
